ID	Country	ISO	Admin	Code	Region	Category	Measure	Pop. Targeted	Comments	Non-compliance	Date	Source	Source Type
1940	Albania	ALB			Europe	Movement restrictions	Border closure 	Yes	No ferries to and from Italy until april 3		23/03/2020	International SOS	Other organisations
2001	Albania	ALB			Europe	Social distancing	Limit public gatherings	Yes	1. Social, cultural or political gatherings, either in enclosed or open-air spaces, are banned and fined: 5 million lek (40,000 euros). 2. Television stations are banned from having more than two people on their talk shows in the same room and will be fined 1 million leks (8,300 euros) for any violations. 3. fines and three-year bans for car drivers if they breach restrictions on movement.	Fines	22/03/2020	BalkaninSight	Media
2002	Albania	ALB			Europe	Social and economic measures	Economic measures	Yes	Traders in food and medicines for unacceptable price rises and up to 10 million leks (83,000 euros) fines, if do not respect safety rules designed to combat infections	Fines	22/03/2020	BalkaninSight	Media
2003	Albania	ALB			Europe	Public health measures	Strengthening the public health system	Yes	Private hospitals that refuse to offer their capacities when required can be fined by up to 5 million leks (40,000 euros).	Fines	22/03/2020	BalkaninSight	Media
2004	Albania	ALB			Europe	Public health measures	General recommendations	Yes	The highest fines, up to 10 million leks (83,000 euros), can be imposed on entities that trade in food or medicine without respecting safety rules designed to combat infections.	Fines	22/03/2020	BalkaninSight	Media
36	Algeria	DZA			Africa	Public health measures	Awareness campaigns	No		Not applicable	05/03/2020	xinhuanet	Media
37	Algeria	DZA			Africa	Social distancing	Schools closure 	No	until 5th April	Not applicable	12/03/2020	US Embassy 	Government
39	Algeria	DZA			Africa	Movement restrictions	Border checks 	Yes	Entry denied to people with symptoms	Not applicable	12/03/2020	US Embassy 	Government
40	Algeria	DZA			Africa	Social distancing	Limit public gatherings	No		Not applicable	12/03/2020	qantara 13/03/2020	Media
961	Algeria	DZA			Africa	Social distancing	Public services closure 	No	Banned all types of gatherings (including all houses of worhsip) until April 5, 2020		20/03/2020	US embassy of Algeria	Government
962	Algeria	DZA			Africa	Movement restrictions	Border closure 	No	All land borders.		17/03/2020	US embassy of Algeria	Government
963	Algeria	DZA			Africa	Movement restrictions	International flights suspension	No	Suspension of all non-cargo international air and maritime travel. Suspension of all International commercial flights (March 20, 2020) Domestic flight suspension (March 22nd, 2020).		20/03/2020	US embassy of Algeria	Government
964	Algeria	DZA			Africa	Public health measures	Awareness campaigns	No	Programs to disinfect mass transit and public areas		20/03/2020	US embassy of Algeria	Government
978	Algeria	DZA			Africa	Public health measures	Introduction of quarantine policies	Yes	Quarantining known confirmed COVID-19 cases within its borders		18/03/2020	US Embassy of Algeria 	Government
1980	Algeria	DZA			Africa	Movement restrictions	Border closure 	Yes	All neighboring land countries 		17/03/2020	US Embassy Algeria	Government
1981	Algeria	DZA			Africa	Movement restrictions	Domestic travel restrictions	Yes	all domestic flights 		22/03/2020	US Embassy Algeria	Government
1982	Algeria	DZA			Africa	Lockdown	Partial lockdown	Yes	Bilda (complete confinement - all movement in and out is prohibited) and Algiers 		23/03/2020	Gardaworld	Other organisations
1983	Algeria	DZA			Africa	Movement restrictions	Curfews	Yes	Bilda and Algiers from 7 pm to 7 am.		23/03/2020	Gardaworld	Other organisations
2427	Algeria	DZA			Africa	Movement restrictions	Domestic travel restrictions	No	All taxis banned countrywide. Rail and public or private/public transport between wilayas has been suspended as well as public transport within urban centers.	Not available	23/03/2020	International SOS	Other organisations
41	Angola	AGO			Africa	Public health measures	Health screenings in airports and border crossings	Yes	China, Korea, South, Iran, and Italy	Not applicable	03/03/2020	US Embassy 	Government
42	Angola	AGO			Africa	Public health measures	Introduction of quarantine policies	Yes	any nationality who presents with symptoms or who has traveled to China since the start of the outbreak	Refusal to enter the country	03/03/2020	US Embassy 	Government
48	Angola	AGO			Africa	Public health measures	Awareness campaigns	No	The National Molecular Biology Laboratory, installed in Luanda, more than three years ago, was authorized by the World Health Organization (WHO) to carry out tests on the new Coronavirus (Covid-19)	Not applicable	11/03/2020	All Africa	Media
1070	Angola	AGO			Africa	Movement restrictions	International flights suspension	No	All international flights to and from Angola will be suspended as of Friday, March 20		20/03/2020	GardaWorld	Other organisations
1071	Angola	AGO			Africa	Movement restrictions	Visa restrictions	Yes	individuals who have transited through China, Hong Kong, Macao, Korea, South, Iran, and Italy, will be prohibited from entering the country due to the ongoing coronavirus (COVID-19) outbreak.		04/03/2020	GardaWorld	Other organisations
1072	Angola	AGO			Africa	Movement restrictions	Visa restrictions	Yes	Authorities are temporarily banning citizens of China, Korea, South, Italy, Iran, Nigeria, Egypt, and Algeria from entering Angola who have travelled directly from those countries; the restriction does not apply to those traveling via a third country.		01/03/2020	GardaWorld	Other organisations
1073	Angola	AGO			Africa	Public health measures	Introduction of quarantine policies	Yes	the Angolan Ministry of Health announced that all travelers arriving from China will be placed under home quarantine		06/02/2020	GardaWorld	Other organisations
1984	Angola	AGO			Africa	Movement restrictions	International flights suspension	Yes	On Tuesday, March 17, government officials announced that all international flights to and from Angola will be suspended as of Friday, March 20	Not applicable	20/03/2020	GardaWorld	Other organisations
1985	Angola	AGO			Africa	Social distancing	Schools closure 	Yes	Public and private higher and general education institutions in Angola are since March 23 shut for a period of 15 days,which may be extended in view of the pandemic situation in the country.	Not applicable	23/03/2020	All Africa	Media
1986	Angola	AGO			Africa	Public health measures	General recommendations	Yes	The Minister of Health, Sílvia Lutucuta, advised employers to allow their domestic workers to stay indoors as a way to prevent the spread of Covid-19 among Angolans.	Not applicable	22/03/2020	ANGOP	Media
1987	Angola	AGO	Namibe		Africa	Public health measures	Awareness campaigns	No	The Provincial Youth Council in Namibe carried out an intense public awareness campaign on methods of disease prevention, during which, young associates distributed pamphlets with statements about the pandemic and ways of prevention.	Not applicable	22/03/2020	All Africa	Media
1988	Angola	AGO	Luena City		Africa	Public health measures	Awareness campaigns	No	The sale of dried game meat, on the informal market in Luena city, has been banned since Saturday, the 21st, as part of the implementation of measures to prevent infection by the new coronavirus (Covid - 19).	Not applicable	22/03/2020	ANGOP	Media
2767	Angola	AGO			Africa	Social and economic measures	State of emergency declared	No	15 day state of national emergency ordered by the President of the Republic from 27 Mar - 	Not available	27/03/2020	ANGOP	Media
2768	Angola	AGO			Africa	Social and economic measures	State of emergency declared	No	The State of Emergency, which has entered in force in Angola since March 27, for a period of 15 days, exempts the free movement of citizens seeking to buy food and provide essential services to the population.	Not available	27/03/2020	ANGOP	Media
2769	Angola	AGO			Africa	Public health measures	Strengthening the public health system	Yes	The Angolan Government will prioritize the regular and free supply of water to health units, informal markets, quarantine centers and prisoners, within the framework of the contingency plan to prevent the spreading of the Coronavirus (Covid-19) pandemic in the country.	Not applicable	27/03/2020	ANGOP	Media
2770	Angola	AGO			Africa	Public health measures	Strengthening the public health system	No	The health authorities of Cuanza Norte announced, Thursday, in Ndalatando, the opening of two centers for the screening and quarantine of suspected cases in Covid-19.	Not applicable	27/03/2020	ANGOP	Media
2771	Angola	AGO	Namibe		Africa	Movement restrictions	Border checks 	Yes	The government of the province of Namibe will, in the coming days, acquire transport means for the National Police staff deployed on the border areas (on the border with the Republic of Namibia), to improve the patrolling and people monitoring system.	Not applicable	27/03/2020	ANGOP	Media
2772	Angola	AGO			Africa	Social and economic measures	Economic measures	Yes	Central Bank defines rules for financial institutions operation. The National Bank of Angola (BNA) on Friday, instructed financial institutions to secure normal services supply, such as deposit of money, cash withdrawal and domestic and international transfers as well as the issuance of the customers' account statements.	Not applicable	27/03/2020	ANGOP	Media
2773	Angola	AGO			Africa	Social and economic measures	Economic measures	Yes	 Program for Strengthening the Social Protection was approved by the Economic Commission of the Council of Ministers 		26/03/2020	ANGOP	Media
2774	Angola	AGO	Lubango		Africa	Public health measures	Strengthening the public health system	Yes	Central hospital installs new ventilators. The Antonio Agostinho Neto Central Hospital of Lubango, in Huíla province, was reinforced, on Thursday, with two ventilating devices for intensive care beds, in an effort to fight the COVID-19 pandemic, which affects the country.	Not applicable	26/03/2020	ANGOP	Media
2775	Angola	AGO			Africa	Public health measures	Strengthening the public health system	Yes	Multi-Sector Brigade Seizes Expired Medicines	Not applicable	26/03/2020	All Africa	Media
2776	Angola	AGO			Africa	Social and economic measures	Economic measures	Yes	World Bank has made available USD 15 million to support the Angolan Government's efforts to combat the new coronavirus (COVID-19), said on Thursday, the World Bank (WB) resident representative, Oliver Lambert.	Not applicable	26/03/2020	ANGOP	Media
2777	Angola	AGO			Africa	Social distancing	Public services closure 	Yes	the country's formal and informal public markets are only open from six to 13:00 hours a day, taking into account the State of Emergency declared. During this period, traders will be able to sell only essential products, namely food, hygiene products, cooking gas, among others, according to the Minister of Territorial Administration and State Reform, Adão de Almeida.	Not available	27/03/2020	ANGOP	Media
2778	Angola	AGO			Africa	Social and economic measures	Limit product imports/exports	No	any staple products, fuel, medicine, equipment and expendable material for medical use are prohibited from leaving the national territory.	Not available	27/03/2020	ANGOP	Media
2779	Angola	AGO			Africa	Movement restrictions	Domestic travel restrictions	No	The order also defines a provincial health fence, which prohibits entry and exit between the different provinces, and inter-provincial circulation is prohibited, exceptionally the entry and exit of essential good and sick people, as well as humanitarian aid.	Not available	27/03/2020	ANGOP	Media
2780	Angola	AGO			Africa	Movement restrictions	Lockdown of refugee/idp camps or other minorities	Yes	The process of organized and voluntary repatriation of Congolese refugees back to DRC, which began in October 2019, is suspended due to the spread of the Coronavirus (Covid-19) in this neighbouring country.		26/03/2020	All Africa	Media
3407	Angola	AGO			Africa	Public health measures	Awareness campaigns	No	the Inter-ministerial Commission for the prevention and combat of the pandemic will open bank accounts for collecting donations for individual and collective assistance in a campaign called 'Juntos por Angola'	Not applicable	28/03/2020	ANGOP	Media
3408	Angola	AGO	Luanda		Africa	Public health measures	Strengthening the public health system	No	Tanker trucks to assure water supply in Luanda. The official also informed that the emergency plan for free water distribution will cover the other provinces of the country.	Not applicable	28/03/2020	ANGOP	Media
3409	Angola	AGO			Africa	Public health measures	Strengthening the public health system	Yes	The Health minister said that as from Sunday (29th) gained the capacity to effect 50 to 100 Covid-19 tests a day.		29/03/2020	ANGOP	Media
3410	Angola	AGO	Cuito		Africa	Public health measures	Strengthening the public health system	Yes	The municipality of Cuito, capital of the province of Bié, will have this week a Treatment Center for patients infected with COVID-19, with a capacity for 30 beds, located in the Cavanga II district.	Not applicable	30/03/2020	ANGOP	Media
3413	Angola	AGO			Africa	Public health measures	Strengthening the public health system	Yes	The medical goods for the prevention and treatment of COVID-19, in the country, are subject to the regulated price regime, says the press release from last Friday Council of Ministers Session.	Not available	27/03/2020	ANGOP	Media
3468	Angola	AGO	Cuanza Sul province		Africa	Public health measures	Strengthening the public health system	Yes	The Health Ministry has allocated 72 million kwanzas to assist the central Cuanza Sul province to purchase bio-security materials and training of staff for the prevention of the COVID-19 in that region.	Not applicable	30/03/2020	ANGOP	Media
3469	Angola	AGO			Africa	Public health measures	Strengthening the public health system	Yes	The management of Hotel IU made available to the Government of the province of Huambo, a total of 60 rooms as a place of institutional quarantine, for suspected cases of the Covid-19 (new Coronavirus) pandemic.	Not applicable	30/03/2020	ANGOP	Media
9	Antigua and Barbuda	ATG			Americas	Public health measures	Awareness campaigns	No	Sanitation and hygiene recommendations		13/03/2020	Prime Minister's Statement	Government
228	Antigua and Barbuda	ATG			Americas	Movement restrictions	Visa restrictions	Yes	    Passengers and airline crew who have been in China, Iran, Italy, Japan, Korea, or Singapore in the past 28 days are not allowed to enter Antigua and Barbuda. Nationals and resident diplomats of Antigua and Barbuda who have been in China, Iran, Italy, Japan, Korea, or Singapore in the past 28 days are allowed entry. Airlines must provide their advance passenger information before departure. 	Not applicable		US Embassy	Government
848	Antigua and Barbuda	ATG			Americas	Social distancing	Limit public gatherings	No	30 day ban on all parties and similar social events as a pre-emptive measure to prevent the contracting and spread of the coronavirus / covid-19.	Not available	16/03/2020	Tourism Authority	Government
981	Antigua and Barbuda	ATG			Americas	Social distancing	Limit public gatherings	Yes	Measures implemented at water payment centers: Senior citizens given priority in customer queues; controlled lines at payment centers enforced; use of sanitation station required on entry to office; designated waiting area to facilitate social distancing 		16/03/2020	Public Works Authority	Government
982	Antigua and Barbuda	ATG			Americas	Public health measures	Awareness campaigns	Yes	Members of the Antigua and Barbuda Hotels and Tourist Association met with officials from the Ministry of Health, the Antigua Workers Unions and the Ministry of Tourism to educate about COVID 19 action plan		03/03/2020	Press Release, Antigua & Barbuda Government	Government
1000	Antigua and Barbuda	ATG			Americas	Social distancing	Schools closure 	No	All educational institutions closed until 27 March 2020 with possibility of extension		15/03/2020	Ministry of education, Science, and Technology	Government
1013	Antigua and Barbuda	ATG			Americas	Social and economic measures	Emergency administrative structures activated or established	No	Antigua Public Utilities Authority (APUA) created an internal taskforce  to recommend systematic business continuity plans that can be implemented		16/03/2020	Antigua & Barbuda Government 	Government
1014	Antigua and Barbuda	ATG			Americas	Social and economic measures	Economic measures	Yes	Calls made to COVID Hotline 463-6843 will not incur charges from inet home, mobile and		16/03/2020	Antigua & Barbuda Government 	Government
24	Argentina	ARG			Americas	Movement restrictions	International flights suspension	No	Flights from countries with COVID transmissions.	Not applicable	12/03/2020	Ministry of Foreign Affairs - France	Government
25	Argentina	ARG			Americas	Movement restrictions	Visa restrictions	No	For long term 	Not applicable	11/03/2020	Ministry of Foreign Affairs - Francce	Government
26	Argentina	ARG			Americas	Public health measures	Introduction of quarantine policies	Yes	From Europe, UK, USA, Korea, South, Japan, China and Iran, for 14 days	Not applicable	12/03/2020	Ministry of Foreign Affairs - Francce	Government
847	Argentina	ARG			Americas	Social distancing	Limit public gatherings	No	Restrict public gathering for sport events and closes cultural spaces		12/03/2020	Ministry of Health 	Government
849	Argentina	ARG			Americas	Movement restrictions	Visa restrictions	Yes	For non-residents and travellers from the Schengen Area, UK, US, Iran, China, Japan and South Corea	Refusal to enter the country	15/03/2020	Ministry of Foreign Affairs - France	Government
868	Argentina	ARG			Americas	Movement restrictions	Domestic travel restrictions	No	Restriction on intercity domestic buses, trains, and flights through Wednesday, March 25	Not applicable	19/03/2020	Ministry of Foreign Affairs - US	Government
869	Argentina	ARG	Buenos Aires		Americas	Social distancing	Limit public gatherings	No	Forbidding standing room passengers in public transports	Not applicable	19/03/2020	Ministry of Foreign Affairs - US	Government
873	Argentina	ARG			Americas	Social distancing	Public services closure 	No	All relevant public services transfered online.		16/03/2020	Ministry of Health — Argentina	Government
875	Argentina	ARG			Americas	Social and economic measures	Economic measures	No	Social protection plan to ensure alimentation and health for all	Not applicable	16/03/2020	Ministry of Health — Argentina	Government
876	Argentina	ARG			Americas	Social and economic measures	Economic measures	No	Plan of investment to protect employment and the economy	Not applicable	17/03/2020	Ministry of Health — Argentina	Government
877	Argentina	ARG			Americas	Public health measures	Strengthening the public health system	No	Construction of 8 temporary hospitals	Not applicable	18/03/2020	Ministry of Health — Argentina	Government
878	Argentina	ARG			Americas	Lockdown	Partial lockdown	No	Until 31st of March included, travels are restricted excepted for valid reasons and population is forced to quarantine. Limited quarantine exemptions include movement to obtain food and medical care and travel to the international airport for ticketed passengers only. Enforced by the police. 	Not applicable	19/03/2020	Ministry of Health — Argentina	Government
879	Argentina	ARG			Americas	Public health measures	Awareness campaigns	No	Campaign for argentinians abroad	Not applicable	17/02/2020	Ministry of Health — Argentina	Government
2093	Argentina	ARG			Americas	Social and economic measures	Economic measures	No	Price control on basic goods and food for 30 days.	Not available	20/03/2020	Government — Argentina	Government
2094	Argentina	ARG			Americas	Social and economic measures	Economic measures	No	One-time payment of 10.000 AR$ to the unemployed and precarious workers.  	Not available	23/03/2020	Government — Argentina	Government
2095	Argentina	ARG			Americas	Social and economic measures	State of emergency declared	No	National state of emergency declared.	Not available	19/03/2020	US Embassy	Government
2417	Argentina	ARG			Americas	Social distancing	Schools closure 	No	For 2 weeks.	Not applicable	16/03/2020	Government — Argentina	Government
3317	Argentina	ARG			Americas	Social and economic measures	Economic measures	No	Government suspends bank account closure as well as water, electricity and gaz closure due to lack of payment.	Not applicable	24/03/2020	MoH	Government
3354	Argentina	ARG			Americas	Movement restrictions	Surveillance and monitoring	No	Every person entering the country must use the mobile app COVID-19  for  minimum of 14 days.	Not available	25/03/2020	MoH	Government
3355	Argentina	ARG			Americas	Movement restrictions	Border closure 	No	Border closure is extended until 31st of March.	Not available	26/03/2020	MoH	Government
3373	Argentina	ARG			Americas	Social and economic measures	Economic measures	Yes	Every healh worker will receive a economic bonus of 5000 AR$.	Not applicable	26/03/2020	MoH	Government
3374	Argentina	ARG			Americas	Social and economic measures	Economic measures	Yes	Every security and defence worker will receive a economic bonus of 5000 AR$.	Not applicable	28/03/2020	MoH	Government
3375	Argentina	ARG			Americas	Social and economic measures	Economic measures	No	Rent payments and eviction for non-payments are suspended.	Not applicable	29/03/2020	MoH	Government
3376	Argentina	ARG			Americas	Social and economic measures	State of emergency declared	No	State of emergency extended until 12th of April.	Not applicable	29/03/2020	Foreign Ministry — UK	Government
3377	Argentina	ARG			Americas	Lockdown	Partial lockdown	No	Lockdown and forced quarantine extended until 12th of april.	Not applicable	29/03/2020	Foreign Ministry — UK	Government
3378	Argentina	ARG			Americas	Movement restrictions	Border closure 	No	Country’s borders are closed for all those entering from 27-31 March.	Refusal to enter the country	26/03/2020	Foreign Ministry — UK	Government
63	Armenia	ARM			Asia	Public health measures	Health screenings in airports and border crossings	No	New arrivals also fill out information forms	Not applicable	10/03/2020	Government of the Republic of Armenia	Government
65	Armenia	ARM			Asia	Movement restrictions	Border closure 	Yes	iran for 2 weeks	Not applicable	24/02/2020	US Embassy 	Government
66	Armenia	ARM			Asia	Movement restrictions	Visa restrictions	Yes	Iran, China	Not applicable	11/03/2020	IATA	Other organisations
67	Armenia	ARM			Asia	Movement restrictions	Border closure 	Yes	Georgia, two weeks closure (likely extended) *citizens may return to respected countries and some cargo permitted to cross 	Not applicable	14/03/2020	US Embassy 	Government
69	Armenia	ARM			Asia	Public health measures	Awareness campaigns	No		Not applicable	31/01/2020	Government of the Republic of Armenia	Government
73	Armenia	ARM			Asia	Public health measures	Introduction of quarantine policies	Yes	For those with symptoms	Not applicable	13/03/2020	Ministry of health	Government
430	Armenia	ARM			Asia	Social distancing	Schools closure 	No	all schools for 1 week	Not applicable	02/03/2020	Civilnet	Media
1003	Armenia	ARM			Asia	Social and economic measures	State of emergency declared	No	for 30 days		16/03/2020	US Embassy of Armenia	Government
1004	Armenia	ARM			Asia	Social distancing	Schools closure 	No	All schools and Universities 		16/03/2020	US Embassy of Armenia	Government
1005	Armenia	ARM			Asia	Social distancing	Limit public gatherings	No	Prohibition of all events over 20 persons 		16/03/2020	US Embassy of Armenia	Government
1006	Armenia	ARM			Asia	Movement restrictions	Visa restrictions	Yes	suspended entry into the country arriving from areas with high risk of COVID-19 infections 		16/03/2020	US Embassy of Armenia	Government
1007	Armenia	ARM			Asia	Public health measures	Health screenings in airports and border crossings	No	symptoms checks and health questionnaires for all travelers permitted to enter the country.		16/03/2020	US Embassy of Armenia	Government
1012	Armenia	ARM			Asia	Movement restrictions	Border closure 	Yes	Iran *exceptions: citizens of these respective nations are permitted to return and some cargo deliveries may cross the borders 		16/03/2020	US Embassy of Armenia 	Government
2026	Armenia	ARM			Asia	Movement restrictions	Visa restrictions	Yes	citizens of Australia, Canada, China, EU member states, Georgia, Iran, Israel, Japan, Norway, Russia, Korea, South, Switzerland, Turkey, the UK and the US will not be permitted to enter Armenia. * Except: Armenian nationals and their family members, Permanent residents, Foreign diplomatic staff and assignees of intergovernmental organizations, as well as their family members. Armenian citizens and foreigners are allowed to depart by air only.	Not applicable	23/03/2020	International SOS	Other organisations
2027	Armenia	ARM			Asia	Movement restrictions	Visa restrictions	Yes	Visa-free entry for Chinese and Iranian nationals has been suspended.	Not applicable	23/03/2020	International SOS	Other organisations
2028	Armenia	ARM			Asia	Movement restrictions	International flights suspension	Yes	All flights to/from Russia have been suspended until at least 30 March	Not applicable	23/03/2020	International SOS	Other organisations
2029	Armenia	ARM			Asia	Movement restrictions	Border closure 	Yes	land borders with Iran and Georgia (until 16th of April 2020)	Not applicable	23/03/2020	International SOS	Other organisations
93	Australia	AUS			Pacific	Movement restrictions	Visa restrictions	Yes	Citizens from China, Italy, Korea, South, Iran, Cruise Ship are not allowed to enter country for 14 days from when they left said country. 	Not applicable	01/03/2020	IATA	Other organisations
94	Australia	AUS			Pacific	Public health measures	Introduction of quarantine policies	Yes	14 days self-quarantine, for nationals arriving from China, Italy, Iran or Korea, South	Not available	01/03/2020	IATA	Other organisations
95	Australia	AUS			Pacific	Social distancing	Limit public gatherings	No	Mass gatherings of more than 500 banned	Not available	13/03/2020	Department of Health	Government
96	Australia	AUS			Pacific	Social and economic measures	Economic measures	No	Implementation of an economic response to the coronavirus totalling $17.6 billion across the forward estimates. 	Not applicable	01/03/2020	Department of Health	Government
97	Australia	AUS			Pacific	Public health measures	Strengthening the public health system	No	Additional masks and funding	Not applicable	12/03/2020	Department of Health	Government
98	Australia	AUS			Pacific	Social and economic measures	Emergency administrative structures activated or established	No	Australian Health Sector Emergency Plan Activated	Not applicable	17/02/2020	Department of Health	Government
1074	Australia	AUS			Pacific	Public health measures	Awareness campaigns	Yes	Subscription service available for COVID-19 newsletter for GPs		17/03/2020	Ministry of Health	Government
1075	Australia	AUS			Pacific	Public health measures	Awareness campaigns	No	A national campaign has launched to inform all Australians about the coronavirus (COVID-19).		20/03/2020	Ministry of Health	Government
1076	Australia	AUS			Pacific	Social and economic measures	Economic measures	Yes	Additional funding of $444.6 million to strengthen the aged care industry, with specific mechanisms to reinforce the aged care workforce.		20/03/2020	Ministry of Health	Government
1077	Australia	AUS			Pacific	Public health measures	Introduction of quarantine policies	Yes	From 1 May 2020, you must have had your influenza vaccination to visit an aged care facility.		18/03/2020	Ministry of Health	Government
1078	Australia	AUS			Pacific	Movement restrictions	Border closure 	No	From 9pm AEDT 20 March 2020, our borders are closed except for Australian citizens, residents and immediate family members. Arrivals must self isolate for 14 days		20/03/2020	Aust Govt	Government
1079	Australia	AUS			Pacific	Public health measures	Introduction of quarantine policies	Yes	All travellers to Australia are required to self-isolate for 14 days, either at home or in a hotel.		20/03/2020	Aust Govt	Government
1080	Australia	AUS			Pacific	Social and economic measures	Economic measures	Yes	Australian banks to defer loan repayments for small businesses affected by COVID-19 by 6 months. 		20/03/2020	Aust Govt	Government
1081	Australia	AUS			Pacific	Social distancing	Limit public gatherings	No	Non-essential indoor gatherings of fewer than 100 people permitted if in a given occupied space, there must be a density of no more than one person per four square metres of floor space. The 4 square metre arrangements for venues will come into effect from 20 March 2020 and will be mandated through state and territory regulatory arrangements.		20/03/2020	Aust Govt	Government
1082	Australia	AUS			Pacific	Social and economic measures	Emergency administrative structures activated or established	Yes	Under the Commonwealth Biosecurity Act 2015 states and territories will nominate remote Indigenous areas in consultation with Indigenous communities, and an emergency requirement determined under the Biosecurity Act 2015 will restrict persons from entering or leaving those nominated areas.		20/03/2020	Aust Govt	Government
1083	Australia	AUS			Pacific	Social distancing	Changes in prison-related policies	Yes	State and Territory leaders agreed that from 20 March 2020 each State’s and Territory’s adult correctional system will restructure personal prison visits to help manage the risk posed to prisoners and staff by the introduction of COVID-19 into custodial facilities. Depending on their operational needs, this may include stopping visits in some jurisdictions		20/03/2020	Aust Govt	Government
1100	Australia	AUS			Pacific	Social distancing	Limit public gatherings	No	Australian authorities closed Bondi beach and removed hundreds of people from other popular Sydney beaches on Saturday, citing the “irresponsible behaviour” of large crowds that had gathered in clear defiance of public health warnings of gatherings over 500 people.		20/03/2020	The Guardian	Media
1421	Australia	AUS			Pacific	Social distancing	Public services closure 	Yes	Pubs, licensed clubs and hotels (excluding accommodation), places of worship, gyms, indoor sporting venues, cinemas, casinos to close from midday Monday, March 22 for at least 6 months	Not available	22/03/2020	Aust Govt	Government
